city;;name;lon;lat
Jakarta; Indonesia;Pertamina;1.067.877.224;-6.242.805.800.000.000
Jakarta; Indonesia;Pertamina;10.682.635.806.369.900;-6.239.609.668.385.240
Jakarta; Indonesia;SPBU 34 10201;10.680.627.139.999.900;-62.025.144
Jakarta; Indonesia;Pertamina;10.684.058.957.549.200;-630.059.731.021.089
Jakarta; Indonesia;Pertamina;10.683.809.119.945.000;-6.271.775.166.229.280
Jakarta; Indonesia;Pertamina;1.069.152.104.847.930;-6.166.634.927.829.290
Jakarta; Indonesia;SPBU 34-12805;10.684.117.354.334.300;-6.225.226.146.586.030
Jakarta; Indonesia;34-14101;10.692.243.012.158.900;-6.143.787.987.323.420
Jakarta; Indonesia;Pertamina 34-14206;10.691.638.449.861.100;-6.152.995.997.873.030
Jakarta; Indonesia;SPBU Envogas 31.A.139.04;10.690.643.284.671.100;-6.190.972.020.654.410
Jakarta; Indonesia;Pertamina;10.692.473.628.638.100;-611.827.533.401.675
Jakarta; Indonesia;Pertamina;10.683.384.285.000.000;-6.228.578.499.999.990
Jakarta; Indonesia;Pertamina;10.682.931.884.492.900;-6.287.096.925.741.810
Jakarta; Indonesia;Pertamina;10.681.184.534.915.800;-6.291.518.062.948.370
Jakarta; Indonesia;Shell TB Simatupang-1 SOUTH JKT;1.068.000.311.185.330;-6.292.932.966.399.660
Jakarta; Indonesia;Pertamina;10.680.569.424.490.500;-6.130.300.928.922.370
Jakarta; Indonesia;SPBU 34-11301;10.679.475.705;-61.486.797.499.999.900
Jakarta; Indonesia;Pertamina 31.103.03;1.068.404.951;-619.606.585
Jakarta; Indonesia;Pertamina;10.682.717.560.000.000;-61.408.273
Jakarta; Indonesia;Pertamina;10.681.889.643.128.000;-6.156.708.456.031.940
Jakarta; Indonesia;Pertamina;10.685.303.874.535.300;-6.302.523.589.708.480
Jakarta; Indonesia;Pertamina;1.067.923.528.565.360;-6.155.860.004.354.040
Jakarta; Indonesia;Pertamina;10.682.044.807.243.700;-6.240.268.358.540.840
Jakarta; Indonesia;SPBG Jakprogas;10.688.656.490.711.900;-6.170.916.504.435.110
Jakarta; Indonesia;Pertamina;10.679.632.832.791.200;-6.124.753.907.330.900
Jakarta; Indonesia;Shell;10.679.843.092.133.800;-6.125.731.605.089.880
Jakarta; Indonesia;Pertamina;10.679.054.276.290.200;-6.221.397.289.333.640
Jakarta; Indonesia;Shell A. Gading-1 NORTH JKT;10.691.501.364.891.000;-61.658.948.190.104.700
Jakarta; Indonesia;Pertamina;10.677.821.930.556.700;-6.228.668.501.588.330
Jakarta; Indonesia;Peteramina;10.681.818.650.921.500;-6.178.559.656.765.260
Jakarta; Indonesia;Pertamina;10.680.310.379.471.300;-6.198.169.966.302.700
Jakarta; Indonesia;SPBU Pertamina 31.114.04;10.680.167.545.230.700;-6.176.391.871.291.580
Jakarta; Indonesia;32-14201;1.068.864.485.552.950;-6.156.661.971.989.810
Jakarta; Indonesia;Pertamina;10.684.829.565.311.200;-6.175.256.637.998.680
Jakarta; Indonesia;SPBU 34-13901;10.689.019.679.999.900;-6.211.754.849.999.990
Jakarta; Indonesia;;10.676.363.330.241.000;-6.165.449.053.734.100
Jakarta; Indonesia;SPBU 34 11612;10.674.194.962.989.700;-6.197.878.576.521.050
Jakarta; Indonesia;;10.678.977.192.631.200;-6.231.314.332.027.790
Jakarta; Indonesia;SPBU Pertamina;10.675.602.184.240.400;-62.409.542.251.254.700
Jakarta; Indonesia;;10.683.613.635.236.200;-6.320.903.718.870.690
Jakarta; Indonesia;SPBU Pertamina 34-12208;10.677.786.372.925.200;-6.248.816.379.400.380
Jakarta; Indonesia;Pertamina - 34.12307;10.677.276.969.999.900;-62.784.454.499.999.900
Jakarta; Indonesia;Pertamina - 34.12412;10.679.433.616.040.000;-6.292.784.278.418.870
Jakarta; Indonesia;SPBU Pertamina 31-11804;10.668.796.285.952.800;-6.130.824.587.568.180
Jakarta; Indonesia;SPBU Pertamina 34.127.07;10.684.222.911.569.600;-6.244.855.699.548.080
Jakarta; Indonesia;Shell;10.672.657.790.523.900;-616.131.716.039.851
Jakarta; Indonesia;34 - 12602;10.683.764.062.920.900;-63.186.304.276.901.300
Jakarta; Indonesia;Pertamina;10.683.504.378.629.400;-6.300.217.004.039.540
Jakarta; Indonesia;SPBU 34-11706;10.671.930.660.630.200;-6.152.595.475.135.410
Jakarta; Indonesia;Pertamina 34-13810;10.689.703.965;-6.308.862.049.999.990
Jakarta; Indonesia;VIVO HANKAM;10.689.732.974.892.400;-6.308.929.671.467.960
Jakarta; Indonesia;SPBG Terminal Pinang Ranti;10.688.672.556.673.300;-6.291.194.399.877.770
Jakarta; Indonesia;SPBU VIVO Cilangkap;1.069.004.109.760.250;-6.338.677.329.777.960
Jakarta; Indonesia;SPBU VIVO Pasar Minggu;10.684.315.246.807.800;-62.513.704.100.066.400
Jakarta; Indonesia;SPBU VIVO MT Haryono;10.684.975.739.949.500;-6.242.717.333.230.540
Jakarta; Indonesia;SPBU VIVO Warung Buncit;10.683.000.879.828.700;-6.264.275.030.195.440
Jakarta; Indonesia;SPBU VIVO Pejaten;10.682.698.344.431.800;-6.284.617.743.699.560
Jakarta; Indonesia;SPBU VIVO Kemang;10.681.532.477.899.700;-6.261.093.103.257.580
Jakarta; Indonesia;SPBU VIVO Cilandak;10.681.348.574.406.000;-63.096.806.239.987.700
Jakarta; Indonesia;SPBU VIVO Antasari;10.680.797.136.653.500;-62.779.251.024.201.100
Jakarta; Indonesia;SPBU VIVO Tendean;10.681.874.140.240.900;-6.239.129.676.994.430
Jakarta; Indonesia;SPBU VIVO Radar Auri;1.068.870.961.855.660;-6.369.445.994.069.540
Jakarta; Indonesia;SPBU VIVO Cideng;10.681.100.888.514.200;-6.166.589.913.394.620
Jakarta; Indonesia;SPBU VIVO Bintaro 1;10.675.458.921.925.500;-6.269.296.662.547.430
Jakarta; Indonesia;SPBU VIVO Kedoya;10.676.544.903.433.500;-61.749.020.647.308.100
Jakarta; Indonesia;Shell Pemuda-1 EAST JKT;1.068.889.863;-6.193.834.549.999.990
Jakarta; Indonesia;Shell A.Yani-1 CNTRL JKT;10.687.482.144.844.800;-6.185.939.553.066.730
Jakarta; Indonesia;Shell Suprapto-1 CENTRAL JKT;10.686.483.178.525.500;-6.170.622.830.301.000
Jakarta; Indonesia;Shell;10.688.880.776.350.600;-6.148.050.930.655.100
Jakarta; Indonesia;Shell Kelapa Gading-1 NORTH JKT DO;10.690.034.744.130.400;-6.158.032.846.843.710
Jakarta; Indonesia;Shell Semper-1 JKT DO;10.691.420.547.404.900;-6.130.962.274.166.410
Jakarta; Indonesia;Shell Sunter Sel-1 NORTH JKT;10.686.696.585.000.000;-614.690.125
