No,Nama Akun,Link Post,Tipe Post,Tanggal,Durasi,View,Like,Comment,Saved,Share,Kategori,Tipe Konten,Sub Tipe Konten,Jumlah Foto
115,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7349395516435729669?is_from_webapp=1&sender_device=pc,Video,23-Mar-2024,0:00:25,7451,98,3,3,21,Ruang,Relational,Suasana Perpustakaan,
120,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7352852825489116422?is_from_webapp=1&sender_device=pc,Foto,1-Apr-2024,0:00:00,49000,1387,16,63,214,Ruang,Relational,Suasana Perpustakaan,10
121,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7353244357803150597?is_from_webapp=1&sender_device=pc,Video,2-Apr-2024,0:00:37,6674,115,2,3,20,Ruang,Relational,Suasana Perpustakaan,
124,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7354353456158641414?is_from_webapp=1&sender_device=pc,Video,5-Apr-2024,0:00:48,15400,295,3,8,61,Ruang,Relational,Suasana Perpustakaan,
126,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7355323244469095686?is_from_webapp=1&sender_device=pc,Foto,8-Apr-2024,0:00:00,27100,615,47,18,93,Ruang,Relational,Suasana Perpustakaan,15
135,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7359194033811590406?is_from_webapp=1&sender_device=pc,Foto,18-Apr-2024,0:00:00,29500,592,42,26,78,Ruang,Relational,Suasana Perpustakaan,6
138,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7360327686092246278?is_from_webapp=1&sender_device=pc,Foto,21-Apr-2024,0:00:00,49600,1527,101,46,171,Ruang,Relational,Suasana Perpustakaan,12
141,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7361042479388413189?is_from_webapp=1&sender_device=pc,Video,23-Apr-2024,0:00:36,6937,105,2,4,31,Ruang,Relational,Suasana Perpustakaan,
142,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7361415595470015750?is_from_webapp=1&sender_device=pc,Foto,24-Apr-2024,0:00:00,12900,106,2,4,31,Ruang,Relational,Suasana Perpustakaan,11
143,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7362152449227885830?is_from_webapp=1&sender_device=pc,Foto,26-Apr-2024,0:00:00,14600,196,9,6,28,Ruang,Relational,Suasana Perpustakaan,10
144,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7363636261824892165?is_from_webapp=1&sender_device=pc,Foto,30-Apr-2024,0:00:00,10200,171,20,1,70,Ruang,Relational,Suasana Perpustakaan,11
145,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7364390417602841861?is_from_webapp=1&sender_device=pc,Video,2-May-2024,0:00:25,28500,478,14,50,176,Ruang,Relational,Suasana Perpustakaan,
146,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7364757442644823302?is_from_webapp=1&sender_device=pc,Foto,3-May-2024,0:00:00,11000,166,15,6,46,Ruang,Relational,Suasana Perpustakaan,14
